📢announcements📢,text,Member;Moderator;Admin;@everyone,Welcome,📢 Welcome to Autivate! Here you'll find important announcements, updates, and news about our community. Stay tuned! 🎉
🤝welcome🤝,text,Member;Moderator;Admin;@everyone,Welcome,🤝 A warm welcome to all our new members! Introduce yourself and meet other members of our neurodiversity-friendly makerspace community. Let's grow together! 🌟
📌rules📌,text,Member;Moderator;Admin;@everyone,Welcome,📌 Please take a moment to read and follow our community guidelines. Let's create a safe and inclusive space for everyone. 🌈
🎟️support🎟️,text,Member;Moderator;Admin;@everyone,Welcome,🎟️ Need help or have questions? Feel free to ask in this channel. Our friendly staff and community members are here to assist you. 🤗
💡suggestions💡,text,Member;Moderator;Admin,Members Only,💡 Share your thoughts and suggestions for improving our community and events. Your input matters! 💭
💡ideas💡,text,Member;Moderator;Admin,Members Only,💡 Have a project idea or want to collaborate with others? Share it here and let's make things happen! 🚀
🛠️makerspace🛠️,text,Member;Moderator;Admin,Members Only,🛠️ Discuss, learn, and share your knowledge about various maker projects, tools, and techniques. Let's create amazing things together! 🌟
📚resources📚,text,Member;Moderator;Admin,Members Only,📚 Find and share valuable resources, articles, tutorials, and more to help you in your maker journey. Knowledge is power! 📖
🎮minecraft🎮,text,Member;Moderator;Admin,Members Only,🎮 Join our secure and neurodiversity-friendly Minecraft server! Share your creations, tips, and have fun with fellow players. Game on! 🕹️
🤖robotics🤖,text,Member;Moderator;Admin,Members Only,🤖 Let's talk about robotics! Share your projects, ask questions, and learn from each other. Together, we build the future! 🚀
💻coding💻,text,Member;Moderator;Admin,Members Only,💻 Share your coding knowledge, ask questions, and collaborate on projects. All programming languages and skill levels are welcome! 🖥️
🖨️3d-printing🖨️,text,Member;Moderator;Admin,Members Only,🖨️ Explore the world of 3D printing! Share your designs, tips, and experiences. Let's create and innovate together! 🌐
🎨art-and-design🎨,text,Member;Moderator;Admin,Members Only,🎨 Unleash your creativity! Share your art, designs, and inspirations. Let's support and learn from each other! 🖌️
🍄mycology🍄,text,Member;Moderator;Admin,Members Only,🍄 Discover the fascinating world of fungi! Discuss, learn, and share your knowledge about mycology, cultivation, and more. 🍄
🌊aquaponics🌊,text,Member;Moderator;Admin,Members Only,🌊 Dive into the world of aquaponics! Discuss, learn, and share your experiences in this sustainable method of growing plants and fish together. Let's make a greener future! 🌿
📸photography📸,text,Member;Moderator;Admin,Members Only,📸 Capture the beauty of the world around you! Share your photos, tips, and techniques with fellow photography enthusiasts. Let's inspire each other! 📷
🎥videography🎥,text,Member;Moderator;Admin,Members Only,🎥 Lights, camera, action! Discuss, learn, and share your experiences in the world of videography. Create stunning visuals and tell amazing stories together! 🎬
🧠ai🧠,text,Member;Moderator;Admin,Members Only,🧠 Explore the fascinating world of artificial intelligence! Discuss, learn, and share your knowledge about AI technologies, projects, and ethical considerations. The future is now! 🤖
🔧tools-and-equipment🔧,text,Member;Moderator;Admin,Members Only,🔧 Discuss, learn, and share your experiences with various tools and equipment. Get recommendations and safety tips from fellow makers. Equip yourself for success! ⚙️
🗓️events🗓️,text,Member;Moderator;Admin,Members Only,🗓️ Stay updated with our upcoming events, workshops, and meetups. Join us for fun, learning, and community-building experiences. Mark your calendars! 🎉
🏆project-showcase🏆,text,Member;Moderator;Admin,Members Only,🏆 Share your projects, creations, and accomplishments with the community. Celebrate each other's achievements and get inspired! 🌟
💫achievements💫,text,Member;Moderator;Admin,Members Only,💫 Celebrate your personal milestones and achievements, both big and small. We're here to support and cheer each other on! 🎊
🎙️general-voice🎙️,voice,Member;Moderator;Admin,Voice,🎙️ Jump into our general voice chat and connect with fellow members. Let's have engaging conversations and make new friends! 😊
📞project-help📞,voice,Member;Moderator;Admin,Voice,📞 Need help with a project or just want to discuss ideas? Join our project help voice channel for real-time assistance and brainstorming sessions. 🧠
🎧music🎧,voice,Member;Moderator;Admin,Voice,🎧 Join our music channel to share and enjoy tunes together. Let's create the perfect soundtrack for our community! 🎵
🎓classroom🎓,voice,Member;Moderator;Admin,Voice,🎓 Attend workshops, classes, and tutorials in our virtual classroom. Learn, grow, and share your knowledge with others. Knowledge is power! 📚
